symbol,YahooSymbolClean,industry,Main Industry,Sub Industry,country,HQ_Lat,HQ_Lon,HQ_Resolved_Address,companyName,exchange_code,inclusion_reason,product_url,marketCapBillions,marketCap,revenue,netIncome,price,peRatio,growthRevenue,growthNetIncome,returnOnAssetsTTM,returnOnEquityTTM,fcc_cik
ITRN,ITRN,Communication Equipment,Communication Equipment,,United States,,,,Ituran Location and Control Ltd.,NASDAQ,Offers geospatial technology solutions including location services and products.,,0.708474756,708474756,336257000,53654000,35.6132,12.76,0.05087537268,0.1146103829,0.1523813705,0.2904211384,
KDK,KDK,Geospatial Technology,Technology,AUTONOMOUSSYSTEMS,United States,,,,,NASDAQ,"Company listed in The Geospatial Index under AUTONOMOUSSYSTEMS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
LOT,LOT,Auto - Manufacturers,Auto,Manufacturers,United States,,,,Lotus Technology Inc. American Depositary Shares,NASDAQ,"Builds vehicles equipped with GPS navigation systems, mapping technology, and autonomous driving capabilities.",,1.423129452,1423129452,924349000,-1104226054,2.135,-1.48,0.3613226943,-0.4881732693,-0.4241844662,1.13742436,
LCID,LCID,Auto - Manufacturers,Auto,Manufacturers,United States,,,,"Lucid Group, Inc.",NASDAQ,"Builds vehicles equipped with GPS navigation systems, mapping technology, and autonomous driving capabilities.",,7.48021517,7480215170,807832000,-2713942000,24.345,-2.15,0.3570827405,0.040474187,-0.2587975887,-0.7557899794,
MBLY,MBLY,Auto - Parts,Auto,Parts,United States,,,,Mobileye Global Inc.,NASDAQ,"Uses geospatial technology in business operations including location analytics, asset tracking, or spatial data management.",,12.0575365,12057536498,1654000000,-3090000000,14.795,-3.96,-0.2044252044,-113.4444444,-0.2349340118,-0.2448218724,
NIO,NIO,Geospatial Technology,Technology,AUTONOMOUSSYSTEMS,United States,,,,,NYSE,"Company listed in The Geospatial Index under AUTONOMOUSSYSTEMS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
NVDA,NVDA,Semiconductors,Semiconductors,,United States,,,,NVIDIA Corporation,NASDAQ,"Manufactures semiconductors including GPS chips, location processors, and spatial computing hardware for various devices.",https://www.nvidia.com/en-us/high-performance-computing/earth-2/,4589.89644,4589896440000,130497000000,72880000000,188.52,53.41,1.142034076,1.448924731,0.6152977121,1.052211422,1045810
OSK,OSK,Agricultural - Machinery,Agricultural,Machinery,United States,,,,Oshkosh Corporation,NASDAQ,Produces agricultural machinery with GPS guidance systems and precision farming technology for crop management.,,8.526121698,8526121698,10730200000,681400000,133.22,13.47,0.1121337438,0.1394648829,0.06493545392,0.1535492324,
PONY,PONY,Geospatial Technology,Technology,AUTONOMOUSSYSTEMS,United States,,,,,NASDAQ,"Company listed in The Geospatial Index under AUTONOMOUSSYSTEMS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
TSLA,TSLA,Auto - Manufacturers,Auto,Manufacturers,United States,,,,"Tesla, Inc.",NASDAQ,"Builds vehicles equipped with GPS navigation systems, mapping technology, and autonomous driving capabilities.",https://www.tesla.com/autopilot,1380.840847,1380840846634,97690000000,7130000000,428.12,201.94,0.009475783535,-0.5246349757,0.04747719088,0.08281916211,1318605
ULY,ULY,Geospatial Technology,Technology,AUTONOMOUSSYSTEMS,United States,,,,,NASDAQ,"Company listed in The Geospatial Index under AUTONOMOUSSYSTEMS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
FR,FR,Geospatial Technology,Technology,AUTONOMOUSSYSTEMS,Europe,,,,,EURONEXT,"Company listed in The Geospatial Index under AUTONOMOUSSYSTEMS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
VZ,VZ,Telecommunications Services,Telecommunications,,United States,,,,Verizon Communications Inc.,NASDAQ,Provides telecommunications services that rely on geospatial infrastructure for network optimization and location-based services.,,184.1269044,184126904365,134788000000,17506000000,43.67,10.16,0.006075805753,0.5073187532,0.04746598484,0.1822270301,
YAN,YAN,Geospatial Technology,Technology,AUTONOMOUSSYSTEMS,Poland,,,,,GPW,"Company listed in The Geospatial Index under AUTONOMOUSSYSTEMS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
WRD,WRD,Geospatial Technology,Technology,AUTONOMOUSSYSTEMS,United States,,,,,NASDAQ,"Company listed in The Geospatial Index under AUTONOMOUSSYSTEMS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
ADSK,ADSK,Software - Application,Software,Application,United States,,,,"Autodesk, Inc.",NASDAQ,"Develops software applications with geospatial features, mapping capabilities, or location-based services.",https://www.autodesk.com/products/autocad/included-toolsets/autocad-map-3d,68.70439977,68704399766,6131000000,1112000000,320.305,67.72,0.1270220588,0.2273730684,0.09607590273,0.394739332,
BSY,BSY,Software - Application,Software,Application,United States,,,,"Bentley Systems, Incorporated",NASDAQ,"Develops software applications with geospatial features, mapping capabilities, or location-based services.",,16.3543042,16354304203,1353095000,234787000,55.99,71.78,0.1014984374,-0.281528947,0.07427663028,0.2346792139,
BIM,BIM,Geospatial Technology,Technology,BIM,Sweden,,,,,OMXSTO,"Company listed in The Geospatial Index under BIM category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
DSY,DSY,Geospatial Technology,Technology,BIM,Europe,,,,,EURONEXT,"Company listed in The Geospatial Index under BIM category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
GMPW,GMPW,Geospatial Technology,Technology,BIM,United States,,,,,OTC,"Company listed in The Geospatial Index under BIM category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
NEM,NEM,Geospatial Technology,Technology,BIM,Germany,,,,,XETR,"Company listed in The Geospatial Index under BIM category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
PTC,PTC,Software - Application,Software,Application,United States,,,,PTC Inc.,NASDAQ,"Develops software applications with geospatial features, mapping capabilities, or location-based services.",,24.48203492,24482034916,2298472000,376333000,204.37,48.2,0.09604859772,0.5326749206,0.08231219095,0.1537001543,
PCOR,PCOR,Software - Application,Software,Application,United States,,,,"Procore Technologies, Inc.",NASDAQ,"Develops software applications with geospatial features, mapping capabilities, or location-based services.",,10.88822711,10888227108,1151708000,-105956000,72.495,-75.52,0.2123114494,0.4414372621,-0.07123243789,-0.1148199326,
RWWI,RWWI,Geospatial Technology,Technology,BIM,United States,,,,,OTC,"Company listed in The Geospatial Index under BIM category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
SIE,SIE,Geospatial Technology,Technology,BIM,Germany,,,,,XETR,"Company listed in The Geospatial Index under BIM category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
VR,VR,Geospatial Technology,Technology,BIM,Australia,,,,,ASX,"Company listed in The Geospatial Index under BIM category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
ACN,ACN,Information Technology Services,Information Technology Services,,United States,,,,Accenture plc,NASDAQ,"Provides IT services including geospatial consulting, GIS implementation, and location intelligence solutions.",,152.5927565,152592756470,69672977000,7678433000,244.99,20.18,0.07360205326,0.05693848973,0.1174163941,0.2555501328,
ADN,ADN,Geospatial Technology,Technology,CONSULTANCY,Germany,,,,,XETR,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
ACM,ACM,Engineering & Construction,Engineering & Construction,,United States,,,,Aecom,NASDAQ,"Operates construction services using GPS for surveying, equipment positioning, and project management.",,17.22064205,17220642052,16105498000,402266000,130.02,25.8,0.1201127854,6.270042652,0.05010959305,0.2679252031,
AFRY,AFRY,Geospatial Technology,Technology,CONSULTANCY,Sweden,,,,,OMXSTO,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
ALC,ALC,Geospatial Technology,Technology,CONSULTANCY,Spain,,,,,BME,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
ARCAD,ARCAD,Geospatial Technology,Technology,CONSULTANCY,Europe,,,,,EURONEXT,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
BKR,BKR,Oil & Gas Equipment & Services,Energy,,United States,,,,Baker Hughes Company,NASDAQ,"Uses geospatial technology in business operations including location analytics, asset tracking, or spatial data management.",,48.09611306,48096113064,27829000000,2979000000,48.785,15.94,0.09107660943,0.5331960885,0.07867836861,0.1797620276,
BAH,BAH,Consulting Services,Consulting Services,,United States,,,,Booz Allen Hamilton Holding Corporation,NASDAQ,"Uses geospatial technology in business operations including location analytics, asset tracking, or spatial data management.",,13.00396886,13003968860,11980000000,935000000,105.51,12.96,0.1236275424,0.5436531915,0.144876848,0.9277426459,
BWMN,BWMN,Engineering & Construction,Engineering & Construction,,United States,,,,Bowman Consulting Group Ltd.,NASDAQ,"Operates construction services using GPS for surveying, equipment positioning, and project management.",,0.724358447,724358447,426564000,2804000,41.99,64.6,0.231932443,1.423309179,0.02032345865,0.04450913914,
CAP,CAP,Geospatial Technology,Technology,CONSULTANCY,Europe,,,,,EURONEXT,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
CEINSYSTECH,CEINSYSTECH,Geospatial Technology,Technology,CONSULTANCY,India,,,,,BSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
GIB,GIB,Geospatial Technology,Technology,CONSULTANCY,United States,,,,,NYSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
CTSH,CTSH,Information Technology Services,Information Technology Services,,United States,,,,Cognizant Technology Solutions Corporation,NASDAQ,"Provides IT services including geospatial consulting, GIS implementation, and location intelligence solutions.",,33.03021722,33030217219,19736000000,2240000000,67.63,13.72,0.0197902134,0.05362182502,0.1208093632,0.1650210849,
COS,COS,Geospatial Technology,Technology,CONSULTANCY,Australia,,,,,ASX,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
CLB,CLB,Oil & Gas Equipment & Services,Energy,,United States,,,,Core Laboratories N.V.,NASDAQ,"Uses geospatial technology in business operations including location analytics, asset tracking, or spatial data management.",,0.57867001,578670010,523848000,31400000,12.34,19.9,0.02757606073,-0.1438309475,0.04921019546,0.1158073291,
CYBERTECH,CYBERTECH,Geospatial Technology,Technology,CONSULTANCY,India,,,,,NSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
CYIENT,CYIENT,Geospatial Technology,Technology,CONSULTANCY,India,,,,,NSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
EPAM,EPAM,Information Technology Services,Information Technology Services,,United States,,,,"EPAM Systems, Inc.",NASDAQ,"Provides IT services including geospatial consulting, GIS implementation, and location intelligence solutions.",,8.629122111,8629122111,4727940000,454533000,154.93,22.01,0.007973495589,0.08979028155,0.08515790448,0.1107112125,
SCO,SCO,Geospatial Technology,Technology,CONSULTANCY,Spain,,,,,BME,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
EXPO,EXPO,Consulting Services,Consulting Services,,United States,,,,"Exponent, Inc.",NASDAQ,"Uses geospatial technology in business operations including location analytics, asset tracking, or spatial data management.",,3.402766476,3402766476,558514000,109002000,67.38,33.86,0.04051672423,0.0863373165,0.1354120854,0.2418922145,
GENESYS,GENESYS,Geospatial Technology,Technology,CONSULTANCY,India,,,,,NSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
GTC,GTC,Geospatial Technology,Technology,CONSULTANCY,United Kingdom,,,,,LSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
ICFI,ICFI,Consulting Services,Consulting Services,,United States,,,,"ICF International, Inc.",NASDAQ,"Uses geospatial technology in business operations including location analytics, asset tracking, or spatial data management.",,1.749534498,1749534498,2019787000,110170000,94.9364,16.54,0.02880394532,0.3335834988,0.05195490241,0.1097281186,
INFY,INFY,Geospatial Technology,Technology,CONSULTANCY,India,,,,,NSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
WG.,WG.,Geospatial Technology,Technology,CONSULTANCY,United Kingdom,,,,,LSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
J,J,Geospatial Technology,Technology,CONSULTANCY,United States,,,,,NYSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
KBR,KBR,Engineering & Construction,Engineering & Construction,,United States,,,,"KBR, Inc.",NASDAQ,"Operates construction services using GPS for surveying, equipment positioning, and project management.",,6.089699926,6089699926,7742000000,375000000,47.265,14.86,0.1129959747,2.41509434,0.05373178272,0.2491467577,
LT,LT,Geospatial Technology,Technology,CONSULTANCY,India,,,,,NSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
MEG,MEG,Waste Management,Waste Management,,United States,,,,"Montrose Environmental Group, Inc.",NASDAQ,"Uses geospatial technology in business operations including location analytics, asset tracking, or spatial data management.",,1.017309536,1017309536,696395000,-62314000,28.83,-19.75,0.1156457463,-1.019313652,-0.03986638399,-0.07498905742,
PSN,PSN,Industrial - Machinery,Industrial,Machinery,United States,,,,Parsons Corporation,NASDAQ,Manufactures industrial machinery with integrated GPS and positioning systems for construction and manufacturing.,,9.39153952,9391539520,6750576000,235053000,87.95,39.44,0.2402879501,0.4586066311,0.06898402685,0.1627751738,
RPLANET,RPLANET,Geospatial Technology,Technology,CONSULTANCY,Malaysia,,,,,MYX,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
RIDINGS,RIDINGS,Geospatial Technology,Technology,CONSULTANCY,India,,,,,BSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
SCYR,SCYR,Geospatial Technology,Technology,CONSULTANCY,Spain,,,,,BME,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
SOP,SOP,Geospatial Technology,Technology,CONSULTANCY,Europe,,,,,EURONEXT,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
SPACE,SPACE,Geospatial Technology,Technology,CONSULTANCY,United Arab Emirates,,,,,ADX,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
SPR,SPR,Aerospace & Defense,Aerospace/Defense,,United States,,,,"Spirit AeroSystems Holdings, Inc.",NASDAQ,"Designs aerospace and defense systems including satellite technology, navigation systems, and military geospatial intelligence.",,4.581698511,4581698511,6316600000,-2139800000,39.02,-1.95,0.04442864465,-2.47257384,-0.3769897886,0.8139412136,
STN,STN,Geospatial Technology,Technology,CONSULTANCY,Canada,,,,,TSX,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
SUN,SUN,Geospatial Technology,Technology,CONSULTANCY,Poland,,,,,NEWCONNECT,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
TCS,TCS,Geospatial Technology,Technology,CONSULTANCY,India,,,,,NSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
TECHM,TECHM,Geospatial Technology,Technology,CONSULTANCY,India,,,,,NSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
TTEK,TTEK,Engineering & Construction,Engineering & Construction,,United States,,,,"Tetra Tech, Inc.",NASDAQ,"Operates construction services using GPS for surveying, equipment positioning, and project management.",,8.880427459,8880427459,5198679000,333382000,33.795,42.24,0.1495017192,0.2193036354,0.04965536505,0.1264567332,
CG,CG,Geospatial Technology,Technology,CONSULTANCY,United States,,,,,NASDAQ,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
TIC,TIC,Industrial - Specialties,Industrial,Specialties,United States,,,,Acuren Corporation,NASDAQ,"Uses geospatial technology in business operations including location analytics, asset tracking, or spatial data management.",,2.923595723,2923595723,633866000,-15703000,14.575,-12.35,0.0,0.0,-0.01160653205,-0.02257057968,
WIPRO,WIPRO,Geospatial Technology,Technology,CONSULTANCY,India,,,,,NSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
WLDN,WLDN,Engineering & Construction,Engineering & Construction,,United States,,,,"Willdan Group, Inc.",NASDAQ,"Operates construction services using GPS for surveying, equipment positioning, and project management.",,1.363119837,1363119837,565798000,22570000,92.95,39.05,0.1092012272,1.065714809,0.07251093635,0.1450139468,
YEXT,YEXT,Software - Infrastructure,Software,Infrastructure,United States,,,,"Yext, Inc.",NASDAQ,"Provides software infrastructure platforms that include geospatial databases, spatial analytics, and location services.",,1.049361326,1049361326,420957000,-27948000,8.515,-77.41,0.04114295042,-9.62661597,0.0118930124,0.04901688144,
LTIM,LTIM,Geospatial Technology,Technology,CONSULTANCY,India,,,,,NSE,"Company listed in The Geospatial Index under CONSULTANCY category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
AMX,AMX,Geospatial Technology,Technology,DATA-E0-AERIAL,Australia,,,,,ASX,"Company listed in The Geospatial Index under DATA-E0-AERIAL category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
SFD,SFD,Geospatial Technology,Technology,DATA-E0-AERIAL,Canada,,,,,TSX,"Company listed in The Geospatial Index under DATA-E0-AERIAL category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
ALPP,ALPP,Geospatial Technology,Technology,DATA-EO-DRONE,United States,,,,,OTC,"Company listed in The Geospatial Index under DATA-EO-DRONE category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
AVAV,AVAV,Aerospace & Defense,Aerospace/Defense,,United States,,,,"AeroVironment, Inc.",NASDAQ,"Designs aerospace and defense systems including satellite technology, navigation systems, and military geospatial intelligence.",,19.13252376,19132523756,820627000,43619000,383.17,-524.89,0.1449757227,-0.2689471391,-0.007986611752,-0.02554628597,
UAVS,UAVS,Geospatial Technology,Technology,DATA-EO-DRONE,United States,,,,,AMEX,"Company listed in The Geospatial Index under DATA-EO-DRONE category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
ALDRV,ALDRV,Geospatial Technology,Technology,DATA-EO-DRONE,Europe,,,,,EURONEXT,"Company listed in The Geospatial Index under DATA-EO-DRONE category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
